OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-6294,2023-094H,2025-10-27T15:35:36.144096,15.02543711,.00009111,43.0041,33.5404,231.7329,128.3432,0,U,57225,999,12710,.12066295E-4,-.41E-6,0
STARLINK-6350,2023-094J,2025-10-27T23:05:28.706784,15.02536083,.00015954,43.0047,31.5881,269.3817,90.6843,0,U,57226,999,12715,.13216674E-3,.1582E-4,0
STARLINK-5996,2023-094K,2025-10-27T15:13:14.117088,15.02534551,.0001308,43.0049,33.4287,269.1157,90.9536,0,U,57227,999,12710,.94227681E-4,.1069E-4,0
STARLINK-6230,2023-094L,2025-10-27T15:02:02.408928,15.02534937,.00011889,43.0041,33.3677,272.2411,87.8295,0,U,57228,999,12710,.2986569E-4,.2E-5,0
STARLINK-6233,2023-094M,2025-10-27T15:11:38.071392,15.02533248,.00013173,43.0054,33.4197,266.5453,93.5238,0,U,57229,999,12710,.28812197E-4,.186E-5,0
STARLINK-6250,2023-094N,2025-10-27T14:54:03.101472,15.02548136,.00013557,43.0044,33.3283,274.2553,85.8134,0,U,57230,999,12710,.11853952E-3,.1398E-4,0
STARLINK-5840,2023-094P,2025-10-27T17:31:56.235936,15.02537986,.00007032,43.0014,32.4311,338.0089,22.0723,0,U,57231,999,12712,.22186412E-3,.2795E-4,0
STARLINK-5872,2023-094Q,2025-10-27T17:30:20.426976,15.02537539,.000113,43.0038,32.4185,279.4217,80.6497,0,U,57232,999,12778,.68449005E-4,.721E-5,0
STARLINK-5866,2023-094R,2025-10-27T14:30:04.776480,15.02532208,.00013127,43.0055,33.1999,262.1240,97.9454,0,U,57233,999,12710,.37386774E-4,.301E-5,0
STARLINK-6368,2023-094S,2025-10-27T15:51:24.775488,15.02539849,.00011079,43.0043,32.7622,273.2337,86.8378,0,U,57234,999,12711,.68918828E-4,.728E-5,0
STARLINK-6360,2023-094T,2025-10-27T12:57:32.609664,15.02537699,.0001372,43.0056,33.5796,264.8497,95.2189,0,U,57235,999,12709,.58749592E-4,.59E-5,0
STARLINK-6315,2023-094U,2025-10-27T14:25:49.359936,15.02535579,.00012126,43.0057,21.0406,264.7459,95.3245,0,U,57236,999,12724,.4259185E-4,.372E-5,0
STARLINK-6365,2023-094V,2025-10-27T12:49:33.295296,15.02537987,.00011467,43.0060,33.5371,263.4893,96.5819,0,U,57237,999,12709,-.71809098E-4,-.1174E-4,0
STARLINK-6334,2023-094W,2025-10-27T14:14:37.834080,15.02551768,.00017616,43.0049,20.9781,264.5146,95.5495,0,U,57238,999,12724,-.32624254E-3,-.461E-4,0
STARLINK-6330,2023-094X,2025-10-27T15:49:49.440000,15.02532305,.00013541,43.0055,32.7556,269.9340,90.1348,0,U,57239,999,12711,.69782491E-4,.739E-5,0
STARLINK-6351,2023-094Y,2025-10-27T22:00:28.986624,15.02539965,.00014962,43.0048,19.1042,267.8478,92.2193,0,U,57240,999,12729,.93854636E-4,.1064E-4,0
STARLINK-6349,2023-094Z,2025-10-27T17:32:28.504608,15.02540754,.00015712,43.0046,20.2908,296.0429,64.0251,0,U,57241,999,12726,.53194187E-4,.515E-5,0
STARLINK-6306,2023-094AA,2025-10-27T15:51:57.465792,15.02538567,.00011871,43.0040,20.6257,269.7847,90.2859,0,U,57242,999,12725,.33673982E-4,.251E-5,0
STARLINK-6346,2023-094AB,2025-10-27T17:30:54.968832,15.02507125,.00013662,43.0045,20.2820,273.5106,86.5580,0,U,57243,999,12726,-.22910217E-3,-.3295E-4,0
STARLINK-5610,2023-094AC,2025-10-27T22:03:40.812768,15.02538953,.00013559,43.0053,19.1200,269.0067,91.0620,0,U,57244,999,12729,.68056787E-4,.716E-5,0
STARLINK-5587,2023-094AD,2025-10-27T17:21:17.504064,15.02552231,.00012521,43.0050,20.2290,276.3558,83.7142,0,U,57245,999,12726,-.13941199E-3,-.2087E-4,0
STARLINK-5049,2023-094AE,2025-10-27T15:04:00.360480,15.02540753,.00012046,43.0052,20.3705,277.4078,82.6627,0,U,57246,999,12725,-.24109822E-3,-.3459E-4,0
STARLINK-5039,2023-094AF,2025-10-27T21:58:53.408352,15.02532539,.00011892,43.0046,19.0963,280.1286,79.9423,0,U,57247,999,12729,.17487339E-3,.2159E-4,0
STARLINK-5514,2023-094AG,2025-10-27T17:06:54.814752,15.02525770,.00014661,43.0043,20.1544,260.3383,99.7294,0,U,57248,999,12726,-.17822097E-4,-.444E-5,0
STARLINK-5517,2023-094AH,2025-10-27T21:50:53.189376,15.02539455,.00012224,43.0057,18.9964,269.1558,90.9144,0,U,57249,999,12729,.11499451E-3,.135E-4,0
STARLINK-5488,2023-094AJ,2025-10-27T12:02:08.872512,15.02532309,.0001292,43.0051,21.1454,263.0101,97.0594,0,U,57250,999,12723,.40433317E-4,.343E-5,0
STARLINK-5513,2023-094AK,2025-10-27T21:46:05.918016,15.02538617,.00013217,43.0061,19.0283,258.1645,101.9049,0,U,57251,999,12729,.53765088E-4,.523E-5,0
STARLINK-5511,2023-094AL,2025-10-27T11:50:57.575616,15.02533837,.00013615,43.0063,21.0883,269.0401,91.0285,0,U,57252,999,12723,.43462008E-4,.383E-5,0
STARLINK-5516,2023-094AM,2025-10-27T21:44:30.444288,15.02530801,.00006656,43.0043,19.0206,286.9577,73.1193,0,U,57253,999,12729,.57597156E-4,.575E-5,0
STARLINK-5490,2023-094AN,2025-10-27T14:54:25.520544,15.02530804,.00013146,43.0056,20.3226,264.0119,96.0573,0,U,57254,999,12725,.12204992E-3,.1445E-4,0
STARLINK-5481,2023-094AP,2025-10-27T14:57:36.642528,15.02540908,.00011244,43.0039,20.3402,272.0706,88.0007,0,U,57255,999,12725,.47514297E-4,.438E-5,0
STARLINK-5512,2023-094AQ,2025-10-27T16:04:34.805856,15.02536171,.00014421,43.0050,19.8483,265.9171,94.1506,0,U,57256,999,12726,.73594153E-4,.791E-5,0
STARLINK-5503,2023-094AR,2025-10-27T15:07:12.432864,15.02535205,.00012566,43.0059,20.3899,263.5877,96.4823,0,U,57257,999,12791,.56522421E-4,.56E-5,0
STARLINK-5476,2023-094AS,2025-10-27T16:25:20.578080,15.02549611,.00011701,43.0050,19.9364,267.8115,92.2593,0,U,57258,999,12726,-.26366086E-4,-.56E-5,0
